turns,max_tiles,min_tiles,piece_distributions
145,6,2,"{0: 524, 2: 196, -2: 109, 4: 159, 8: 123, -4: 10, 16: 62, 32: 54, 64: 68}"
133,6,-4,"{2: 220, 0: 420, -2: 75, 4: 160, 8: 135, 16: 100, -4: 23, 32: 26, 64: 38}"
174,6,2,"{0: 535, 2: 221, 4: 197, -2: 129, 8: 124, 16: 110, -4: 34, 32: 121, -8: 12, 64: 83}"
76,6,-4,"{-2: 24, 4: 126, 0: 213, 2: 136, 8: 79, 16: 53, 32: 25, 64: 26, -4: 2}"
179,7,-2,"{2: 288, 0: 512, -2: 93, 4: 227, -4: 11, 8: 147, 16: 100, 32: 80, 64: 93, 128: 60}"
318,7,-2,"{0: 785, 2: 513, -2: 227, 4: 365, 8: 266, 16: 217, 32: 178, -4: 33, 64: 116, 128: 162}"
206,7,2,"{0: 575, 2: 277, 4: 217, -2: 142, 8: 183, 16: 171, 32: 104, -4: 18, 64: 92, 128: 75}"
149,6,2,"{0: 544, 4: 121, -2: 100, 2: 222, -4: 4, 8: 119, 16: 129, 32: 56, 64: 46}"
235,7,2,"{0: 675, 2: 354, 4: 264, 8: 210, -2: 180, 16: 143, -4: 12, 32: 112, 64: 77, 128: 88}"
203,7,-2,"{0: 513, -2: 163, 4: 263, 2: 288, 8: 164, 16: 150, -4: 31, 32: 121, 64: 66, 128: 68}"
82,5,-2,"{0: 236, -2: 54, 2: 139, 4: 111, 8: 76, 16: 66, 32: 53, -4: 3}"
94,6,2,"{0: 283, 2: 135, -2: 62, 4: 131, 8: 78, 16: 81, 32: 48, -4: 4, 64: 24}"
139,6,-4,"{2: 201, -2: 102, 0: 531, -4: 57, 4: 115, 8: 71, 16: 78, 32: 46, 64: 50}"
259,7,-4,"{4: 317, 0: 671, 2: 385, -2: 206, 8: 199, 16: 235, -4: 26, 32: 142, 64: 79, 128: 69, -8: 2}"
96,6,-2,"{-2: 44, 2: 178, 0: 306, 4: 92, 8: 95, 16: 64, 32: 46, -4: 1, 64: 38}"
184,6,2,"{2: 262, 0: 710, -2: 130, -4: 18, 4: 171, 8: 108, 16: 114, 32: 63, 64: 80}"
137,6,2,"{0: 376, 4: 200, 2: 197, -2: 76, 8: 147, -4: 10, 16: 98, 32: 70, 64: 59}"
166,7,-2,"{0: 612, -2: 112, 2: 223, 4: 163, 8: 126, 16: 96, -4: 16, 32: 52, 64: 58, 128: 36}"
114,6,-4,"{0: 410, 4: 100, 2: 188, 8: 94, -2: 74, 16: 44, -4: 16, 32: 51, 64: 49}"
116,6,-2,"{0: 325, 2: 178, -2: 56, 4: 161, 8: 104, 16: 86, 32: 71, -4: 6, 64: 57}"
214,7,-2,"{0: 672, 2: 312, 4: 257, -2: 155, 8: 157, 16: 148, -4: 23, 32: 83, 64: 88, 128: 31}"
108,6,2,"{0: 332, -2: 55, 2: 189, -4: 5, 4: 127, 8: 86, 16: 80, 32: 65, 64: 33}"
217,7,-2,"{-2: 138, 2: 333, 0: 691, 4: 237, 8: 150, -4: 12, 16: 139, 32: 96, 64: 74, 128: 83}"
226,7,-2,"{0: 614, 2: 354, 4: 227, -2: 137, 8: 229, 16: 139, 32: 90, 64: 111, -4: 28, 128: 105}"
