turns,max_tiles,min_tiles,piece_distributions
72,5,-1,"{1: 117, 0: 178, -1: 84, 2: 101, 3: 73, -2: 38, 4: 47, 5: 19}"
69,5,-2,"{0: 240, 2: 94, -1: 79, -2: 25, 1: 123, 3: 34, 4: 14, 5: 21}"
60,5,-1,"{-1: 80, 0: 179, 1: 86, -2: 17, 2: 99, 3: 31, 4: 46, 5: 11}"
49,5,1,"{0: 136, 1: 94, -1: 46, 2: 83, 3: 33, 4: 17, 5: 27, -2: 14}"
50,5,1,"{0: 139, -1: 33, 1: 106, 2: 80, 3: 59, 4: 27, 5: 14, -2: 1}"
58,5,1,"{0: 170, 2: 76, -1: 35, 1: 115, -2: 13, 3: 75, 4: 27, 5: 20}"
69,5,1,"{0: 225, 1: 124, -1: 77, 2: 68, 3: 54, -2: 9, 4: 62, 5: 11}"
26,4,-1,"{0: 100, -1: 21, 2: 40, -2: 1, 3: 20, 1: 46, 4: 15}"
119,6,1,"{0: 302, -1: 87, 2: 159, -2: 56, 1: 208, 3: 117, 4: 71, 5: 34, 6: 46}"
46,4,-1,"{1: 86, 0: 163, -1: 45, 2: 53, 3: 41, 4: 34, -2: 1}"
44,5,-1,"{0: 104, 1: 105, 2: 77, 3: 33, -1: 37, 4: 27, -2: 10, 5: 12}"
55,5,1,"{0: 144, 2: 71, 1: 103, -1: 44, 3: 85, 4: 30, 5: 27}"
90,5,1,"{1: 174, 0: 230, -1: 90, 2: 136, -2: 14, 3: 99, 4: 28, 5: 45, -3: 3}"
32,4,-1,"{0: 98, -1: 30, 1: 54, 2: 64, 3: 29, 4: 22}"
40,4,-1,"{0: 125, 1: 87, -1: 27, 2: 72, 3: 36, 4: 22}"
60,4,1,"{0: 189, -1: 39, 1: 118, 2: 88, -2: 7, 3: 61, 4: 47}"
85,5,-1,"{0: 218, 1: 167, 2: 85, -1: 101, 3: 88, -2: 43, 4: 39, 5: 33}"
75,5,-2,"{0: 227, -1: 89, 1: 114, 2: 110, 3: 48, -2: 20, 4: 53, 5: 23}"
29,4,-2,"{0: 93, 1: 57, 2: 34, 3: 34, -1: 21, 4: 19, -2: 12}"
71,5,-1,"{0: 186, 1: 131, 2: 136, -1: 52, -2: 5, 3: 66, 4: 47, 5: 25}"
58,5,-2,"{0: 159, -1: 63, 1: 109, 2: 62, 3: 59, -2: 32, 4: 22, 5: 25}"
59,5,-1,"{0: 168, -1: 47, 1: 124, 2: 97, 3: 55, 4: 19, -2: 17, 5: 13}"
97,6,-1,"{0: 247, 1: 177, -1: 63, 2: 164, -2: 13, 3: 106, 4: 61, 5: 33, 6: 18}"
63,5,-1,"{0: 212, -1: 49, 2: 113, 1: 109, -2: 8, 3: 45, 4: 27, 5: 13}"
74,5,1,"{0: 185, 1: 157, -1: 67, 2: 103, 3: 59, 4: 39, -2: 36, 5: 29}"
106,5,-1,"{0: 291, -1: 122, -2: 60, 2: 142, 1: 163, 3: 108, -3: 7, 4: 32, 5: 38}"
100,5,-1,"{-1: 97, 0: 308, -2: 11, 1: 195, 2: 145, 3: 65, 4: 58, 5: 30}"
66,5,-2,"{0: 181, 1: 126, 2: 107, -1: 74, -2: 11, 3: 50, 4: 30, 5: 24}"
46,5,-3,"{0: 148, 1: 94, -1: 33, 2: 69, 3: 32, -2: 9, 4: 26, 5: 10, -3: 2}"
53,5,-1,"{-1: 28, 0: 162, 1: 100, -2: 3, 2: 76, 3: 74, 4: 21, 5: 22}"
54,5,-3,"{0: 181, -1: 75, 1: 76, 2: 73, 3: 36, 4: 10, 5: 23, -2: 16, -3: 5}"
69,5,-1,"{0: 145, 1: 165, -1: 27, 2: 137, 3: 71, 4: 47, 5: 38}"
72,5,1,"{0: 209, 1: 112, -1: 74, 2: 116, 3: 55, -2: 16, 4: 37, 5: 38}"
81,5,-1,"{0: 282, 1: 143, -1: 83, 2: 88, 3: 67, 4: 51, -2: 2, 5: 22}"
62,5,-2,"{0: 188, -1: 63, 1: 102, 2: 76, 3: 68, -2: 18, 4: 28, 5: 24}"
61,5,1,"{1: 129, 0: 135, 2: 104, 3: 90, -1: 35, 4: 33, 5: 31, -2: 1}"
77,5,1,"{0: 246, 1: 129, 2: 121, -1: 71, 3: 67, -2: 7, 4: 31, 5: 30}"
29,4,1,"{0: 72, 1: 85, 2: 57, -1: 11, 3: 35, 4: 10}"
71,5,-1,"{-1: 72, 0: 170, 1: 144, 2: 121, -2: 13, 3: 67, 4: 34, 5: 27}"
89,6,-2,"{0: 255, -1: 86, 2: 114, 1: 150, 3: 97, -2: 11, 4: 43, 5: 46, 6: 8}"
48,5,-3,"{0: 139, 1: 90, -1: 46, 2: 68, 3: 61, 4: 11, -2: 11, 5: 9, -3: 6}"
43,5,-1,"{1: 73, 0: 144, -1: 41, 2: 68, 3: 39, 4: 15, 5: 16}"
32,4,1,"{0: 123, -1: 14, 1: 55, 2: 63, 3: 14, 4: 28}"
61,5,1,"{0: 188, 2: 79, 1: 107, -1: 52, 3: 69, 4: 15, -2: 14, 5: 34}"
52,5,1,"{0: 157, 1: 78, 2: 73, -1: 46, 3: 59, -2: 7, 4: 34, 5: 23}"
53,5,-1,"{0: 154, 1: 96, 2: 94, -1: 42, -2: 5, 3: 48, 4: 41, 5: 6}"
60,4,-1,"{-1: 57, 0: 218, 1: 121, 2: 76, -2: 24, 3: 32, 4: 21}"
60,5,-1,"{0: 144, 1: 131, 2: 101, -1: 26, 3: 63, 4: 53, 5: 31}"
23,4,-2,"{0: 93, 1: 45, 2: 31, 3: 3, -1: 23, 4: 16, -2: 5}"
59,5,-1,"{0: 192, -1: 51, -2: 12, 1: 110, 2: 84, 3: 44, 4: 39, 5: 8}"
43,5,-2,"{0: 107, 1: 82, 2: 77, 3: 59, -1: 20, 4: 33, 5: 12, -2: 6}"
45,5,-1,"{0: 144, 1: 92, 2: 63, -1: 25, 3: 43, 4: 26, -2: 6, 5: 15}"
38,4,-1,"{1: 73, 0: 117, -1: 39, 2: 44, 3: 50, 4: 21, -2: 7}"
54,5,1,"{1: 113, 0: 112, -1: 38, 2: 109, 3: 63, 4: 32, -2: 13, 5: 15}"
51,4,-1,"{0: 162, 2: 69, 1: 96, -1: 53, -2: 13, 3: 50, 4: 25}"
