turns,max_tiles,min_tiles,piece_distributions
51,5,-2,"{-2: 2, 8: 2, 2: 1, 4: 3, 32: 1}"
43,5,-2,"{8: 1, 16: 1, 2: 2, 4: 3, -2: 1, 32: 1}"
87,6,-2,"{-2: 1, 8: 3, 2: 2, 16: 1, 64: 1, 4: 1}"
17,3,-2,"{2: 2, 4: 2, -2: 3, 8: 2}"
72,5,-2,"{4: 3, 8: 3, 2: 1, 32: 1, -2: 1}"
46,5,-2,"{-2: 2, 8: 2, 4: 3, 32: 1, 2: 1}"
102,5,-2,"{4: 3, 32: 1, -2: 2, 16: 1, 2: 1, 8: 1}"
39,4,-4,"{2: 3, 8: 3, -4: 1, 16: 1, 4: 1}"
57,5,-2,"{2: 3, 4: 1, -2: 1, 16: 1, 32: 1, 8: 2}"
64,5,-4,"{-2: 1, 4: 2, 2: 2, 16: 1, 8: 1, 32: 1, -4: 1}"
81,5,-4,"{2: 2, 16: 2, 8: 1, -4: 1, 32: 1, 4: 2}"
52,5,-4,"{-4: 1, 8: 2, 2: 3, 32: 1, 4: 2}"
37,4,2,"{2: 4, 4: 2, 8: 2, 16: 1}"
63,5,-2,"{2: 2, 8: 3, 32: 1, -2: 2, 4: 1}"
39,4,-2,"{2: 3, 16: 2, 8: 1, 4: 2, -2: 1}"
152,6,-2,"{2: 2, 8: 3, -2: 1, 16: 1, 32: 1, 64: 1}"
50,5,2,"{4: 2, 16: 1, 2: 3, 32: 1, 8: 2}"
88,5,-2,"{8: 2, -2: 3, 4: 2, 16: 1, 32: 1}"
72,5,-2,"{4: 4, 32: 2, 8: 1, -2: 2}"
71,5,-2,"{4: 2, 16: 2, -2: 2, 32: 1, 8: 1, 2: 1}"
59,5,-2,"{-2: 2, 8: 3, 32: 1, 4: 1, 16: 1, 2: 1}"
46,4,-2,"{-2: 3, 4: 2, 16: 2, 8: 2}"
56,4,-2,"{2: 1, 8: 3, 4: 3, 16: 1, -2: 1}"
64,5,-4,"{2: 3, 4: 1, -4: 2, -2: 1, 32: 1, 8: 1}"
57,6,-4,"{-2: 2, -4: 1, 2: 1, 4: 1, 64: 1, 8: 2, 16: 1}"
42,4,-2,"{2: 3, 8: 3, 16: 1, -2: 1, 4: 1}"
25,4,2,"{8: 2, 16: 1, 2: 4, 4: 2}"
105,5,-4,"{-2: 1, -4: 2, 2: 1, 8: 2, 32: 1, 16: 1, 4: 1}"
39,5,-2,"{8: 2, 4: 3, 2: 2, -2: 1, 32: 1}"
34,4,2,"{8: 2, 16: 1, 2: 3, 4: 3}"
88,6,-2,"{4: 1, 8: 2, -2: 2, 64: 1, 16: 1, 32: 1, 2: 1}"
72,5,-2,"{-2: 2, 16: 2, 8: 1, 32: 1, 2: 2, 4: 1}"
77,5,-2,"{4: 3, 8: 2, 2: 1, -2: 1, 16: 1, 32: 1}"
47,4,-2,"{8: 3, 4: 2, -2: 3, 16: 1}"
57,5,-2,"{2: 2, 16: 2, 4: 2, 32: 1, -2: 1, 8: 1}"
40,4,2,"{8: 2, 4: 3, 16: 1, 2: 3}"
20,3,-2,"{2: 2, 4: 4, -2: 2, 8: 1}"
48,4,-4,"{2: 4, 4: 2, 16: 2, -4: 1}"
